feature,importance
Elevation,0.2662102552036119
Horizontal_Distance_To_Roadways,0.0914075035901426
Horizontal_Distance_To_Fire_Points,0.0816618339534323
Horizontal_Distance_To_Hydrology,0.05006190738386589
Wilderness_Area4,0.04786394062141694
Vertical_Distance_To_Hydrology,0.04742376205339476
Aspect,0.04419912673083735
Hillshade_Noon,0.04305177284795961
Hillshade_9am,0.03955585114159011
Hillshade_3pm,0.039189255783305774
Slope,0.03192297472861399
Soil_Type22,0.02275049998885853
Soil_Type4,0.017850322690454144
Soil_Type10,0.01672471495725344
Soil_Type38,0.014722191634332856
Soil_Type39,0.014185993853324357
Wilderness_Area1,0.013877301710137147
Wilderness_Area3,0.013773288347811852
Soil_Type12,0.013655618328445618
Soil_Type2,0.012811870447853547
Soil_Type23,0.012555840884853111
Wilderness_Area2,0.007870712174151334
Soil_Type40,0.007795021078511496
Soil_Type29,0.005438709915712961
Soil_Type32,0.004709988237703238
Soil_Type13,0.0037671157914511175
Soil_Type24,0.0036133865178500147
Soil_Type11,0.0033521199156210223
Soil_Type33,0.003338681399788703
Soil_Type31,0.0033221602505643854
Soil_Type6,0.003304645071512285
Soil_Type30,0.0030883030675089417
Soil_Type3,0.0022778521167403673
Soil_Type20,0.001781839026348115
Soil_Type1,0.0016195236155110808
Soil_Type17,0.001599601333192781
Soil_Type35,0.0015258872664129627
Soil_Type21,0.0009108330212057182
Soil_Type16,0.000757405346675397
Soil_Type5,0.0007232402557025138
Soil_Type19,0.0007068424999479515
Soil_Type27,0.0005675078236582687
Soil_Type37,0.0005201119867907345
Soil_Type34,0.0004340803750894241
Soil_Type18,0.000361803048176653
Soil_Type14,0.00033138757276993585
Soil_Type26,0.00028470007345951173
Soil_Type25,0.00018352662902676928
Soil_Type28,0.000118375708834148
Soil_Type9,0.00011062584643410807
Soil_Type36,8.017999786937196e-05
Soil_Type8,3.333090543361575e-05
Soil_Type15,7.361891652300275e-06
Soil_Type7,7.3133571968745135e-06
