feature,importance
Elevation,0.10752424
Soil_Type22,0.06193277
Soil_Type2,0.050868724
Wilderness_Area1,0.04989434
Soil_Type32,0.04332632
Soil_Type23,0.035018865
Wilderness_Area3,0.034649562
Soil_Type39,0.034531835
Soil_Type12,0.033483457
Soil_Type4,0.033073027
Soil_Type38,0.031898182
Soil_Type30,0.027857048
Soil_Type29,0.024245022
Wilderness_Area4,0.023600066
Wilderness_Area2,0.02302971
Soil_Type31,0.022487897
Soil_Type27,0.018094061
Soil_Type24,0.018073969
Soil_Type40,0.017922068
Soil_Type3,0.017473403
Soil_Type20,0.015992237
Horizontal_Distance_To_Hydrology,0.015193335
Soil_Type10,0.015184631
Horizontal_Distance_To_Roadways,0.015085316
Horizontal_Distance_To_Fire_Points,0.014400816
Soil_Type21,0.0143248355
Hillshade_Noon,0.014109241
Soil_Type33,0.01360785
Soil_Type11,0.01223369
Soil_Type35,0.011710745
Soil_Type17,0.011606973
Soil_Type9,0.010849534
Soil_Type13,0.009687846
Hillshade_9am,0.0092749335
Vertical_Distance_To_Hydrology,0.009144642
Aspect,0.007988064
Soil_Type25,0.007817527
Soil_Type6,0.0074883695
Soil_Type18,0.007227047
Hillshade_3pm,0.006899554
Soil_Type8,0.006456374
Soil_Type34,0.0064313584
Soil_Type37,0.00631749
Soil_Type26,0.0063112774
Soil_Type19,0.0055568526
Soil_Type28,0.005395777
Slope,0.005236793
Soil_Type16,0.0048079337
Soil_Type5,0.0040764473
Soil_Type14,0.0036356216
Soil_Type36,0.0028495865
Soil_Type1,0.0025642123
Soil_Type7,0.0015484904
Soil_Type15,0.0
